GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,96,45,0,0,40,18,9,10,9,10
mon-projet,com.library.model,Student,13,38,0,0,7,16,3,7,3,7
mon-projet,com.library.model,Borrow,68,0,0,0,28,0,12,0,12,0
mon-projet,com.library.dao,StudentDAO,63,168,8,6,22,54,6,9,1,7
mon-projet,com.library.dao,BorrowDAO,108,3,4,0,28,1,4,1,2,1
mon-projet,com.library.dao,BookDAO,73,251,8,8,29,80,6,11,1,8
mon-projet,com.library,Main,191,0,14,0,59,0,12,0,2,0
mon-projet,com.library.util,DbConnection,10,8,0,0,3,2,1,1,1,1
mon-projet,com.library.service,BorrowService,43,83,7,7,13,22,7,5,2,3
mon-projet,com.library.service,BookService,44,45,4,0,9,14,6,5,4,5
mon-projet,com.library.service,StudentService,53,49,4,0,14,16,7,5,5,5
